Real News,Mean, ,Absolute Mean, ,Median, ,Absolute Median, 
,Num_Articles,Subjectivity,Polarity,Subjectivity,Polarity,Subjectivity,Polarity,Subjectivity,Polarity
BREITBART,487,0.4006063530788717,0.07099755277952559,0.4006063530788717,0.09214554805029566,0.40627917833800187,0.06904708853238264,0.40627917833800187,0.07863717993280038
NATIONALREVIEW,497,0.4516529083178201,0.08247338137085998,0.4516529083178201,0.08734624452858204,0.4539218476718476,0.08463313896987368,0.4539218476718476,0.0852235408269891
NEWSEXAMINER,50,0.4064816639553006,0.07090782247064428,0.4064816639553006,0.08460763881590777,0.41048034270256495,0.07190844014373424,0.41048034270256495,0.07420834394363805
NYTPOLITICAL,499,0.4006646186462911,0.07108079863481524,0.4006646186462911,0.07550186988996792,0.40177436760770097,0.07306422743922744,0.40177436760770097,0.07370125060125061
OANN,496,0.36573560217626205,0.06834450602210614,0.36573560217626205,0.08275393805634058,0.3720612720612721,0.0681664981462757,0.3720612720612721,0.06947462967871132
POLITICO,477,0.38750996296468687,0.07049017448419585,0.38750996296468687,0.08176821669888869,0.39339947089947097,0.07149621212121211,0.39339947089947097,0.07449414356329251
REUTERS,485,0.3684082199706914,0.05190225433055933,0.3684082199706914,0.07999561697875265,0.36926934853764126,0.05994318181818181,0.36926934853764126,0.06684587813620071
THEATLANTIC,499,0.41144335339726723,0.07350404494854812,0.41144335339726723,0.07630639935956052,0.41344963721724287,0.07332659073730502,0.41344963721724287,0.07373988330510071
THEECONOMIST,36,0.3986789288922076,0.06689547045310625,0.3986789288922076,0.06998254202818287,0.39700879704785946,0.06657435569432696,0.39700879704785946,0.06657435569432696
THEGUARDIAN,494,0.4041125520338998,0.06471660198191025,0.4041125520338998,0.07234792831734622,0.410528285676312,0.06614103239911429,0.410528285676312,0.06886990396584478
WASHINGTONTIMES,42,0.4212695119692149,0.04871909974592645,0.4212695119692149,0.09503662498772598,0.39871082696504934,0.05546266233766234,0.39871082696504934,0.0825689935064935


